id	datastore	extent	mapping
1	ebola_affected_raw	west_africa:guinee,guine-bissau,liberia,sierra_leone	
2	ebola_affected_basic	west_africa:guinee,guine-bissau,liberia,sierra_leone	basic:buildings_and_roads
3	ebola_affected_placenames	west_africa:guinee,guine-bissau,liberia,sierra_leone	placenames:placenames_consolidated
4	ebola_affected_medicalcenters	west_africa:guinee,guine-bissau,liberia,sierra_leone	health:medical_centers
